lofty, working
mum, vice-chair
confidentiality, foolproof
apart, practical
but, multi-ethnic
better-educated, internal
emotive, extraneous
comforting, up
me, tasty
rock, scientifically
lengthy, moronic
disingenuous, individualized
dry, past
uncomfortable, vested
classy, superb
insignificant, sold
distinguishable, older
nobler, worldwide
